,time_spend_company,work_accident,promotion_last_5years,salary,grouped_dept_Tech,grouped_dept_admin,work_intensity,satisfaction_gap,overworking
10388,-1.0333578343283476,False,False,-0.9478155990476865,False,False,-1.0786069836134495,-0.3074651275239913,True
7447,-0.27245954772055503,False,False,0.6291005479340567,True,False,-0.08236659147854036,-0.34337674292521536,False
9958,-0.27245954772055503,False,False,-0.9478155990476865,False,True,-1.0889129187045004,-1.4566368203631612,True
11004,-0.27245954772055503,False,False,-0.9478155990476865,True,False,-0.2713087348144716,-0.0201722043141986,False
1080,1.24933702549503,False,False,0.6291005479340567,False,False,0.13234038958501748,0.015739411087025083,True
3589,0.48843873888723754,True,False,-0.9478155990476865,False,False,-2.0748473757483583,0.015739411087025083,False
2860,-0.27245954772055503,False,False,-0.9478155990476865,True,False,-0.48601571587802944,-1.4207252049619368,True
4777,-0.27245954772055503,True,False,0.6291005479340567,True,False,-1.11725424020489,-0.4870232045301117,False
11452,-1.0333578343283476,False,False,2.2060166949157995,False,True,3.9713012110014336,-1.4207252049619368,True
3806,-0.27245954772055503,False,False,0.6291005479340567,False,True,0.7249316573204375,-0.774316127739904,True
7379,0.48843873888723754,False,False,2.2060166949157995,False,False,-0.4988981347418429,-1.4207252049619368,True
8640,2.0102353121028225,False,False,-0.9478155990476865,False,False,-1.5835978030749378,1.6317621041421075,False
10088,-0.27245954772055503,False,False,0.6291005479340567,False,False,0.14522280844883095,-0.4511115891288876,True
3669,0.48843873888723754,True,False,-0.9478155990476865,False,False,-0.1854259423890482,0.9494414115188504,False
10976,-0.27245954772055503,False,False,0.6291005479340567,True,False,0.26116457822315226,-0.9179625893448,True
9508,-0.27245954772055503,False,False,-0.9478155990476865,True,False,1.600936140059754,0.37485556509926593,True
11389,-0.27245954772055503,True,False,-0.9478155990476865,False,True,0.19245834428281358,0.6262368729078341,True
2615,0.48843873888723754,False,False,-0.9478155990476865,False,False,1.7039954909702617,-0.6665812815362318,True
1559,1.24933702549503,False,False,0.6291005479340567,False,True,-0.13819040655506556,-0.12790705051787127,True
8814,0.48843873888723754,False,False,2.2060166949157995,True,False,-1.851552115442258,1.0930878731237468,False
5949,-0.27245954772055503,False,False,-0.9478155990476865,True,False,1.5494064646045,-0.37928835832643926,False
8322,-1.0333578343283476,False,False,-0.9478155990476865,False,False,-0.7951937686095529,0.4107671805004896,False
7597,-1.0333578343283476,False,False,-0.9478155990476865,True,False,0.1752817857977292,-1.492548435764385,True
10141,-1.0333578343283476,False,False,-0.9478155990476865,True,False,-0.39154464421006385,-0.2715535121227676,False
7475,-1.0333578343283476,True,False,-0.9478155990476865,True,False,-0.2197790593592177,-0.9538742047460246,False
8511,-0.27245954772055503,False,False,-0.9478155990476865,True,False,0.4286360234527275,-1.7439297435729537,True
852,1.24933702549503,False,False,2.2060166949157995,False,False,-0.6972873852445706,-0.056083819715422686,True
7967,-1.0333578343283476,False,False,-0.9478155990476865,False,True,1.1715221779326384,-0.34337674292521536,True
